id;signature;signature_content_type;assigned_date
1;../fake-data/blob/hipster.png;image/png;2023-12-07T05:36:02
2;../fake-data/blob/hipster.png;image/png;2023-12-06T18:27:59
3;../fake-data/blob/hipster.png;image/png;2023-12-06T18:13:44
4;../fake-data/blob/hipster.png;image/png;2023-12-07T00:37:17
5;../fake-data/blob/hipster.png;image/png;2023-12-06T18:44:22
6;../fake-data/blob/hipster.png;image/png;2023-12-07T09:23:42
7;../fake-data/blob/hipster.png;image/png;2023-12-07T13:51:34
8;../fake-data/blob/hipster.png;image/png;2023-12-07T03:12:59
9;../fake-data/blob/hipster.png;image/png;2023-12-06T17:51:21
10;../fake-data/blob/hipster.png;image/png;2023-12-07T08:40:05
