id;name;fee;description;day_length;extra
1;till frankly satisfy;19747.86;../fake-data/blob/hipster.txt;20415;../fake-data/blob/hipster.txt
2;frightfully;4057.02;../fake-data/blob/hipster.txt;10823;../fake-data/blob/hipster.txt
3;dogwood who;295.73;../fake-data/blob/hipster.txt;19013;../fake-data/blob/hipster.txt
4;than cram expedition;16036.03;../fake-data/blob/hipster.txt;6715;../fake-data/blob/hipster.txt
5;gosh toad;22506.17;../fake-data/blob/hipster.txt;23479;../fake-data/blob/hipster.txt
6;wrongly chow;13093.11;../fake-data/blob/hipster.txt;6668;../fake-data/blob/hipster.txt
7;boohoo;28842.29;../fake-data/blob/hipster.txt;7186;../fake-data/blob/hipster.txt
8;though duh;23426.55;../fake-data/blob/hipster.txt;29976;../fake-data/blob/hipster.txt
9;into camp;4638.71;../fake-data/blob/hipster.txt;15952;../fake-data/blob/hipster.txt
10;wherever but;18759.92;../fake-data/blob/hipster.txt;15336;../fake-data/blob/hipster.txt
