id;title;date;description;start_time;end_time;hours;status;total_amount;comment;attachments;attachments_content_type;file_name;file_type;file_size;created_date;last_modified_date;approval_key_regenerated_days;approval_key_created_date;approval_key;batch_approval_key
1;judgementally blah;2023-12-07;../fake-data/blob/hipster.txt;2023-12-06T18:34:29;2023-12-07T13:08:31;7080;REJECTED;28500.19;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;sharply glossy;thermometer entire times;11382;2023-12-06T23:57:39;2023-12-07T07:13:10;24218;2023-12-07T07:02:18;indeed;mmm lively onto
2;smite;2023-12-07;../fake-data/blob/hipster.txt;2023-12-07T06:02:44;2023-12-07T05:45:42;29095;SUBMITTED;20296.1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;though shakedown debtor;hmph;29143;2023-12-07T12:35:57;2023-12-06T22:00:55;16468;2023-12-07T08:14:50;ick;misappropriate plus
3;bah er anti;2023-12-06;../fake-data/blob/hipster.txt;2023-12-06T19:20:40;2023-12-06T20:59:52;6458;SUBMITTED;31941.71;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;once;since;26327;2023-12-06T19:24:28;2023-12-07T09:48:52;31597;2023-12-07T05:27:36;provided;whether
4;dine;2023-12-07;../fake-data/blob/hipster.txt;2023-12-06T23:00:36;2023-12-07T15:04:58;20855;APPROVED;12279.46;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;remote unless beatbox;snowball;4003;2023-12-06T17:35:26;2023-12-06T21:31:01;9832;2023-12-07T15:48:45;er;around wifi
5;per;2023-12-07;../fake-data/blob/hipster.txt;2023-12-07T16:21:51;2023-12-07T09:57:22;31306;REJECTED;29149.9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;sham;fantasize rationalise;20895;2023-12-07T07:23:25;2023-12-06T18:54:34;1654;2023-12-07T11:13:41;near;clip whose
6;excepting negotiation frantically;2023-12-07;../fake-data/blob/hipster.txt;2023-12-07T02:09:03;2023-12-07T07:12:25;29163;APPROVED;7242.46;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;upon;monthly keenly footprint;4977;2023-12-06T21:31:10;2023-12-07T06:15:57;2109;2023-12-06T23:06:47;geez though scuttle;intently till
7;geez;2023-12-07;../fake-data/blob/hipster.txt;2023-12-06T19:01:53;2023-12-07T00:42:39;27190;APPROVED;24819.74;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;ready meh;catnap;11137;2023-12-06T19:34:27;2023-12-06T20:12:05;1063;2023-12-06T23:44:45;awkwardly tenor;indeed limply hm
8;silently;2023-12-06;../fake-data/blob/hipster.txt;2023-12-07T11:45:06;2023-12-07T03:38:30;3741;APPROVED;1960.57;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;extra-small anti constrain;mantel;574;2023-12-06T23:41:34;2023-12-07T02:56:15;13509;2023-12-07T16:19:42;below clearly;knavishly
9;uncommon brr;2023-12-07;../fake-data/blob/hipster.txt;2023-12-06T21:31:54;2023-12-06T21:38:25;18011;REJECTED;10591.75;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;after;among under unlike;7242;2023-12-07T03:58:12;2023-12-07T02:38:34;4589;2023-12-07T10:12:48;yieldingly athwart drat;welcome on
10;enjoin check;2023-12-06;../fake-data/blob/hipster.txt;2023-12-07T12:22:12;2023-12-07T08:19:16;6325;REJECTED;26055.55;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;furthermore plantation;while trunk;10748;2023-12-07T16:52:19;2023-12-06T17:58:48;16514;2023-12-07T08:24:10;huzzah;elm supposing
